t,MV,PV,DV
2.010000000000000000e+02,6.947095824738525494e+01,5.351200000000000045e+01,4.900000000000000000e+01
2.020000000000000000e+02,6.917599617512810539e+01,5.357600000000000051e+01,4.867799999999999727e+01
2.030000000000000000e+02,6.896566718810213104e+01,5.377000000000000313e+01,4.928999999999999915e+01
2.040000000000000000e+02,6.877764767643544985e+01,5.377000000000000313e+01,4.932200000000000273e+01
2.050000000000000000e+02,6.861319504563111593e+01,5.377000000000000313e+01,4.893599999999999994e+01
2.060000000000000000e+02,6.838488436189014408e+01,5.383400000000000318e+01,4.941899999999999693e+01
2.070000000000000000e+02,6.829911779951049766e+01,5.399499999999999744e+01,4.964500000000000313e+01
2.080000000000000000e+02,6.798731625223992125e+01,5.409199999999999875e+01,4.951599999999999824e+01
2.090000000000000000e+02,6.781464067624636982e+01,5.409199999999999875e+01,4.967699999999999960e+01
2.100000000000000000e+02,6.776491771173894563e+01,5.409199999999999875e+01,4.951599999999999824e+01
2.110000000000000000e+02,6.740218020123116105e+01,5.422099999999999653e+01,4.996699999999999875e+01
2.120000000000000000e+02,6.723133900729753520e+01,5.438199999999999790e+01,4.996699999999999875e+01
2.130000000000000000e+02,6.720535891856148680e+01,5.441400000000000148e+01,4.977300000000000324e+01
2.140000000000000000e+02,6.688952488640549632e+01,5.441400000000000148e+01,5.028900000000000148e+01
2.150000000000000000e+02,6.665680986138858088e+01,5.447899999999999920e+01,5.015999999999999659e+01
2.160000000000000000e+02,6.654455633444516138e+01,5.454299999999999926e+01,5.003099999999999881e+01
2.170000000000000000e+02,6.633702502292361203e+01,5.473599999999999710e+01,5.032099999999999795e+01
2.180000000000000000e+02,6.623953527399511643e+01,5.473599999999999710e+01,5.035399999999999920e+01
2.190000000000000000e+02,6.593691178591286928e+01,5.473599999999999710e+01,5.048199999999999932e+01
2.200000000000000000e+02,6.578429401352622108e+01,5.483299999999999841e+01,5.061099999999999710e+01
2.210000000000000000e+02,6.570022969541429347e+01,5.499399999999999977e+01,5.051500000000000057e+01
2.220000000000000000e+02,6.537793575301645888e+01,5.505899999999999750e+01,5.093399999999999750e+01
2.230000000000000000e+02,6.527111815490748370e+01,5.505899999999999750e+01,5.067600000000000193e+01
2.240000000000000000e+02,6.516826750940869317e+01,5.505899999999999750e+01,5.093399999999999750e+01
2.250000000000000000e+02,6.492584481934505902e+01,5.518800000000000239e+01,5.112700000000000244e+01
2.260000000000000000e+02,6.476924934740796402e+01,5.534899999999999665e+01,5.125600000000000023e+01
2.270000000000000000e+02,6.458168862998304860e+01,5.538100000000000023e+01,5.125600000000000023e+01
2.280000000000000000e+02,6.439396825205140829e+01,5.538100000000000023e+01,5.128799999999999670e+01
2.290000000000000000e+02,6.428345744966374298e+01,5.538100000000000023e+01,5.148100000000000165e+01
2.300000000000000000e+02,6.400001079754601108e+01,5.550999999999999801e+01,5.138499999999999801e+01
2.310000000000000000e+02,6.394433687217663476e+01,5.560600000000000165e+01,5.132000000000000028e+01
2.320000000000000000e+02,6.371772889548726937e+01,5.570300000000000296e+01,5.157800000000000296e+01
2.330000000000000000e+02,6.351163497786640733e+01,5.570300000000000296e+01,5.144899999999999807e+01
2.340000000000000000e+02,6.332669301403358020e+01,5.570300000000000296e+01,5.189999999999999858e+01
2.350000000000000000e+02,6.318609832372660406e+01,5.576800000000000068e+01,5.189999999999999858e+01
2.360000000000000000e+02,6.303657136373139025e+01,5.583200000000000074e+01,5.193299999999999983e+01
2.370000000000000000e+02,6.283345290399358873e+01,5.602499999999999858e+01,5.186800000000000210e+01
2.380000000000000000e+02,6.272849328129846924e+01,5.602499999999999858e+01,5.215800000000000125e+01
2.390000000000000000e+02,6.261627523470313861e+01,5.602499999999999858e+01,5.183599999999999852e+01
